Tools,Port 1: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,1,21577,1,OK,0.0316957,0.9886977,-0.1456593,-0.0159899,20.336,252.645,154.668,0.2009540
1,1,21580,1,OK,0.0313563,0.9884594,-0.1472899,-0.0164470,20.519,252.645,154.729,0.1960681
1,1,21583,1,OK,0.0306397,0.9885009,-0.1471764,-0.0163159,20.519,252.660,154.648,0.2088557
1,1,21586,1,OK,0.0301618,0.9883364,-0.1483821,-0.0162548,20.594,252.669,154.660,0.1983889
1,1,21589,1,OK,0.0303622,0.9884810,-0.1474051,-0.0159769,20.668,252.647,154.623,0.2029067
1,1,21592,1,OK,0.0312474,0.9883691,-0.1478781,-0.0168009,20.926,252.585,154.643,0.1958121
1,1,21595,1,OK,0.0326656,0.9881779,-0.1488575,-0.0167002,21.351,252.615,154.552,0.2117565
1,1,21598,1,OK,0.0328969,0.9882093,-0.1486794,-0.0159563,20.981,252.652,154.584,0.2165392
1,1,21601,1,OK,0.0321800,0.9882215,-0.1487256,-0.0162317,20.895,252.658,154.643,0.2095477
1,1,21604,1,OK,0.0316524,0.9883522,-0.1479368,-0.0165183,20.966,252.601,154.572,0.1951459
1,1,21607,1,OK,0.0321193,0.9883801,-0.1476484,-0.0165237,20.564,252.638,154.619,0.2062722
1,1,21610,1,OK,0.0330835,0.9880728,-0.1494553,-0.0167550,20.839,252.708,154.628,0.1956925
1,1,21613,1,OK,0.0327910,0.9880397,-0.1498030,-0.0161656,20.941,252.658,154.627,0.2071337
1,1,21616,1,OK,0.0319689,0.9880704,-0.1497493,-0.0164328,20.911,252.656,154.631,0.2021053
1,1,21619,1,OK,0.0318555,0.9882509,-0.1485071,-0.0170585,20.827,252.587,154.672,0.1921551
1,1,21622,1,OK,0.0334229,0.9882301,-0.1483993,-0.0161785,20.832,252.627,154.600,0.2346605
1,1,21625,1,OK,0.0338054,0.9879067,-0.1505713,-0.0150295,20.904,252.697,154.649,0.2045761
1,1,21628,1,OK,0.0331353,0.9881475,-0.1490675,-0.0156643,20.668,252.651,154.663,0.2037696
1,1,21631,1,OK,0.0332058,0.9880902,-0.1493319,-0.0165873,20.835,252.659,154.626,0.2019698
1,1,21634,1,OK,0.0336454,0.9880283,-0.1497713,-0.0153810,20.891,252.639,154.638,0.1926879
1,1,21637,1,OK,0.0339399,0.9879523,-0.1501395,-0.0160149,20.915,252.692,154.600,0.2414030
1,1,21640,1,OK,0.0331992,0.9882140,-0.1486253,-0.0155356,20.633,252.626,154.680,0.1919255
1,1,21643,1,OK,0.0328969,0.9878801,-0.1509072,-0.0154168,21.201,252.703,154.531,0.1951272
1,1,21646,1,OK,0.0328256,0.9880788,-0.1496303,-0.0152809,20.680,252.669,154.676,0.2046983
1,1,21649,1,OK,0.0333054,0.9882681,-0.1481934,-0.0159874,20.745,252.641,154.647,0.2177420
1,1,21652,1,OK,0.0334874,0.9883263,-0.1477789,-0.0158475,20.498,252.630,154.684,0.2055833
1,1,21655,1,OK,0.0335269,0.9880659,-0.1495504,-0.0153765,20.450,252.712,154.667,0.2048828
1,1,21658,1,OK,0.0332473,0.9880777,-0.1495826,-0.0149019,20.433,252.687,154.673,0.2206082
1,1,21661,1,OK,0.0333519,0.9879721,-0.1501816,-0.0156316,20.845,252.658,154.653,0.2216385
1,1,21664,1,OK,0.0338999,0.9880736,-0.1494071,-0.0154562,20.607,252.709,154.660,0.1845080
1,1,21667,1,OK,0.0348506,0.9880652,-0.1493580,-0.0143131,20.376,252.705,154.591,0.2083646
1,1,21670,1,OK,0.0354424,0.9880959,-0.1489795,-0.0146794,20.231,252.653,154.702,0.2148380
1,1,21673,1,OK,0.0346461,0.9881174,-0.1489677,-0.0152394,20.641,252.650,154.612,0.2031036
1,1,21676,1,OK,0.0341269,0.9879543,-0.1501316,-0.0155632,20.319,252.729,154.649,0.1863461
1,1,21679,1,OK,0.0350233,0.9881141,-0.1489356,-0.0149051,20.254,252.637,154.675,0.2069108
1,1,21682,1,OK,0.0371130,0.9879357,-0.1494894,-0.0160815,20.639,252.633,154.610,0.2001269
1,1,21685,1,OK,0.0371443,0.9879170,-0.1496766,-0.0154032,20.427,252.688,154.668,0.2053140
1,1,21688,1,OK,0.0356833,0.9879973,-0.1494495,-0.0159034,20.699,252.624,154.627,0.1949912
1,1,21691,1,OK,0.0356224,0.9879404,-0.1497451,-0.0167704,20.389,252.669,154.670,0.1986901
1,1,21694,1,OK,0.0366922,0.9878009,-0.1503452,-0.0173013,20.411,252.649,154.748,0.1907619
