Tools,Port 3: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,3,65632,1,OK,0.1535534,0.9741583,0.0100675,-0.1653348,-2.936,182.215,-79.015,0.1988492
1,3,65635,1,OK,0.1535401,0.9740515,0.0099060,-0.1659850,-2.886,182.211,-79.041,0.1913124
1,3,65638,1,OK,0.1535773,0.9741193,0.0099434,-0.1655496,-2.854,182.211,-79.046,0.2054871
1,3,65641,1,OK,0.1536293,0.9742150,0.0092489,-0.1649779,-2.661,182.187,-79.065,0.1886789
1,3,65644,1,OK,0.1535748,0.9740735,0.0097077,-0.1658352,-2.676,182.186,-79.084,0.1899501
1,3,65647,1,OK,0.1535712,0.9741693,0.0095107,-0.1652867,-2.694,182.199,-79.060,0.2057711
1,3,65650,1,OK,0.1534652,0.9740098,0.0098715,-0.1663004,-2.770,182.198,-79.042,0.1988403
1,3,65653,1,OK,0.1534474,0.9740195,0.0099174,-0.1662576,-2.884,182.221,-78.999,0.2177499
1,3,65656,1,OK,0.1535068,0.9740967,0.0099305,-0.1657489,-2.898,182.198,-79.043,0.2102871
1,3,65659,1,OK,0.1534771,0.9740937,0.0096301,-0.1658114,-2.800,182.193,-79.043,0.1997161
1,3,65662,1,OK,0.1536344,0.9740012,0.0091513,-0.1662362,-2.801,182.197,-79.057,0.2118755
1,3,65665,1,OK,0.1536154,0.9740562,0.0092466,-0.1659256,-2.686,182.184,-79.066,0.2008900
1,3,65668,1,OK,0.1535688,0.9742983,0.0097206,-0.1645142,-2.710,182.204,-79.040,0.2003904
1,3,65671,1,OK,0.1534069,0.9740599,0.0100674,-0.1660490,-2.766,182.206,-79.038,0.2020310
1,3,65674,1,OK,0.1535888,0.9741247,0.0093703,-0.1655407,-2.726,182.190,-79.054,0.1859218
1,3,65677,1,OK,0.1534437,0.9740354,0.0104115,-0.1661373,-2.934,182.222,-79.022,0.1979846
1,3,65680,1,OK,0.1536798,0.9741450,0.0081717,-0.1654003,-2.585,182.192,-79.077,0.2250616
1,3,65683,1,OK,0.1533400,0.9740902,0.0105372,-0.1659041,-2.763,182.218,-79.025,0.2022364
1,3,65686,1,OK,0.1533754,0.9740758,0.0104174,-0.1659632,-2.901,182.197,-79.025,0.1912615
1,3,65689,1,OK,0.1534435,0.9740347,0.0095759,-0.1661921,-2.835,182.215,-79.020,0.2068250
1,3,65692,1,OK,0.1534745,0.9741775,0.0096839,-0.1653177,-2.753,182.199,-79.027,0.1999311
1,3,65695,1,OK,0.1534257,0.9740736,0.0098599,-0.1659636,-2.714,182.195,-79.049,0.1778325
1,3,65698,1,OK,0.1534344,0.9741008,0.0099180,-0.1657923,-2.726,182.218,-79.023,0.1923851
1,3,65701,1,OK,0.1535737,0.9740998,0.0098937,-0.1656706,-2.945,182.225,-79.013,0.2337246
1,3,65704,1,OK,0.1534770,0.9741969,0.0103871,-0.1651586,-2.923,182.202,-79.020,0.2012803
1,3,65707,1,OK,0.1535451,0.9743372,0.0103551,-0.1642670,-2.954,182.225,-78.976,0.1855499
1,3,65710,1,OK,0.1534199,0.9740333,0.0095672,-0.1662223,-2.538,182.184,-79.075,0.1992523
1,3,65713,1,OK,0.1536192,0.9742201,0.0087027,-0.1649869,-2.239,182.171,-79.113,0.2060160
1,3,65716,1,OK,0.1534004,0.9740900,0.0095354,-0.1659096,-2.566,182.181,-79.068,0.1923256
1,3,65719,1,OK,0.1535662,0.9740394,0.0088945,-0.1660889,-2.508,182.170,-79.107,0.1984938
1,3,65722,1,OK,0.1534634,0.9741967,0.0094662,-0.1652277,-2.596,182.201,-79.044,0.2103520
1,3,65725,1,OK,0.1535127,0.9742683,0.0096592,-0.1647476,-2.475,182.189,-79.059,0.2021690
1,3,65728,1,OK,0.1536729,0.9742439,0.0092027,-0.1647691,-2.824,182.205,-79.009,0.1921016
1,3,65731,1,OK,0.1534798,0.9741169,0.0096279,-0.1656731,-2.666,182.206,-79.027,0.2012343
1,3,65734,1,OK,0.1534719,0.9741557,0.0101129,-0.1654228,-2.722,182.192,-79.055,0.2179905
1,3,65737,1,OK,0.1534601,0.9739711,0.0096994,-0.1665419,-2.767,182.191,-79.055,0.2051108
1,3,65740,1,OK,0.1534770,0.9741048,0.0099099,-0.1657301,-2.764,182.202,-79.038,0.1927187
1,3,65743,1,OK,0.1534329,0.9741013,0.0091941,-0.1658325,-2.563,182.194,-79.059,0.2118350
1,3,65746,1,OK,0.1536005,0.9741314,0.0097268,-0.1654696,-2.858,182.208,-79.026,0.1987576
1,3,65749,1,OK,0.1536787,0.9741718,0.0095491,-0.1651694,-2.813,182.208,-79.031,0.2108420
