Tools,Port 8: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,8,28661,1,OK,0.1641626,0.3896192,-0.2319414,0.8760427,65.797,-64.338,-1875.466,0.1181335
1,8,28664,1,OK,0.1654633,0.3898568,-0.2312701,0.8758697,65.743,-64.412,-1875.531,0.1274936
1,8,28667,1,OK,0.1647573,0.3895659,-0.2315857,0.8760488,65.836,-64.397,-1875.578,0.1051626
1,8,28670,1,OK,0.1644866,0.3897386,-0.2317979,0.8759667,65.760,-64.346,-1875.511,0.1238034
1,8,28673,1,OK,0.1645811,0.3896790,-0.2317597,0.8759856,65.780,-64.344,-1875.504,0.1158416
1,8,28676,1,OK,0.1647586,0.3897765,-0.2316440,0.8759395,65.738,-64.364,-1875.487,0.1317018
1,8,28679,1,OK,0.1642142,0.3895375,-0.2318876,0.8760835,65.778,-64.346,-1875.543,0.1071289
1,8,28682,1,OK,0.1650323,0.3897338,-0.2314738,0.8759520,65.811,-64.406,-1875.537,0.1175978
1,8,28685,1,OK,0.1642954,0.3898477,-0.2318984,0.8759275,65.650,-64.316,-1875.418,0.1152572
1,8,28688,1,OK,0.1644665,0.3898373,-0.2318382,0.8759159,65.733,-64.335,-1875.439,0.1211162
1,8,28691,1,OK,0.1646331,0.3896191,-0.2316552,0.8760301,65.797,-64.388,-1875.566,0.1113056
1,8,28694,1,OK,0.1651557,0.3897714,-0.2314293,0.8759237,65.749,-64.393,-1875.540,0.1183016
1,8,28697,1,OK,0.1642893,0.3894714,-0.2318143,0.8761182,65.831,-64.374,-1875.561,0.1138634
1,8,28700,1,OK,0.1650482,0.3896434,-0.2314476,0.8759961,65.789,-64.402,-1875.573,0.1211669
1,8,28703,1,OK,0.1643181,0.3896274,-0.2318742,0.8760276,65.794,-64.346,-1875.472,0.1147780
1,8,28706,1,OK,0.1649176,0.3896793,-0.2315162,0.8759866,65.754,-64.399,-1875.546,0.1296088
1,8,28709,1,OK,0.1650149,0.3895012,-0.2313955,0.8760793,65.870,-64.449,-1875.647,0.1312788
1,8,28712,1,OK,0.1641043,0.3895230,-0.2319679,0.8760893,65.798,-64.324,-1875.501,0.1107785
1,8,28715,1,OK,0.1649484,0.3896102,-0.2315028,0.8760151,65.805,-64.395,-1875.566,0.1132064
1,8,28718,1,OK,0.1644907,0.3896448,-0.2317065,0.8760319,65.777,-64.375,-1875.492,0.1046882
1,8,28721,1,OK,0.1637697,0.3895302,-0.2321383,0.8761036,65.732,-64.309,-1875.429,0.1241346
1,8,28724,1,OK,0.1647116,0.3899080,-0.2317116,0.8758719,65.716,-64.348,-1875.427,0.1320120
1,8,28727,1,OK,0.1639942,0.3895953,-0.2320306,0.8760612,65.744,-64.327,-1875.472,0.1213448
1,8,28730,1,OK,0.1640064,0.3895630,-0.2320195,0.8760762,65.800,-64.327,-1875.484,0.1269241
1,8,28733,1,OK,0.1641914,0.3895385,-0.2319696,0.8760657,65.786,-64.312,-1875.517,0.1103484
1,8,28736,1,OK,0.1642076,0.3899050,-0.2320349,0.8758823,65.692,-64.270,-1875.360,0.1300861
1,8,28739,1,OK,0.1641986,0.3896717,-0.2320218,0.8759913,65.758,-64.291,-1875.443,0.1176205
1,8,28742,1,OK,0.1646789,0.3897515,-0.2316803,0.8759560,65.706,-64.365,-1875.506,0.1175957
1,8,28745,1,OK,0.1647978,0.3896784,-0.2316506,0.8759740,65.818,-64.373,-1875.498,0.1297581
1,8,28748,1,OK,0.1647881,0.3895205,-0.2314985,0.8760862,65.803,-64.435,-1875.577,0.1085369
1,8,28751,1,OK,0.1648365,0.3896765,-0.2315670,0.8759896,65.804,-64.393,-1875.554,0.1250443
1,8,28754,1,OK,0.1649201,0.3897449,-0.2314969,0.8759620,65.751,-64.397,-1875.516,0.1167403
1,8,28757,1,OK,0.1643606,0.3897491,-0.2318808,0.8759638,65.757,-64.320,-1875.497,0.1284981
1,8,28760,1,OK,0.1647895,0.3896462,-0.2315910,0.8760056,65.788,-64.381,-1875.532,0.1144106
1,8,28763,1,OK,0.1645369,0.3897033,-0.2317449,0.8759870,65.718,-64.352,-1875.497,0.1160615
1,8,28766,1,OK,0.1649401,0.3896493,-0.2314723,0.8760073,65.838,-64.429,-1875.577,0.1221802
1,8,28769,1,OK,0.1643550,0.3895108,-0.2317890,0.8760951,65.780,-64.378,-1875.552,0.1144698
