Tools,Port 2: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,2,15941,1,OK,0.3017504,0.1472531,-0.7879284,0.5161706,181.514,262.216,-1686.491,0.1588560
1,2,15944,1,OK,0.3020725,0.1474948,-0.7877678,0.5161583,181.490,262.221,-1686.481,0.1425077
1,2,15947,1,OK,0.3019892,0.1475919,-0.7878485,0.5160561,181.528,262.211,-1686.503,0.1440366
1,2,15950,1,OK,0.3019946,0.1474162,-0.7878323,0.5161279,181.525,262.222,-1686.520,0.1427005
1,2,15953,1,OK,0.3019799,0.1474872,-0.7878847,0.5160362,181.560,262.219,-1686.508,0.1528669
1,2,15956,1,OK,0.3018561,0.1474161,-0.7878828,0.5161318,181.507,262.223,-1686.493,0.1588882
1,2,15959,1,OK,0.3021740,0.1473944,-0.7876837,0.5162558,181.525,262.224,-1686.486,0.1396885
1,2,15962,1,OK,0.3021833,0.1476582,-0.7877966,0.5160027,181.503,262.212,-1686.491,0.1387776
1,2,15965,1,OK,0.3020399,0.1473898,-0.7878372,0.5161015,181.494,262.211,-1686.490,0.1448385
1,2,15968,1,OK,0.3020762,0.1474809,-0.7878018,0.5161082,181.540,262.211,-1686.507,0.1407613
1,2,15971,1,OK,0.3020977,0.1474195,-0.7877635,0.5161717,181.521,262.229,-1686.506,0.1534278
1,2,15974,1,OK,0.3018411,0.1474985,-0.7879676,0.5159876,181.555,262.221,-1686.494,0.1472136
1,2,15977,1,OK,0.3021381,0.1475172,-0.7878165,0.5160391,181.512,262.228,-1686.471,0.1393760
1,2,15980,1,OK,0.3019812,0.1474630,-0.7878488,0.5160972,181.524,262.219,-1686.483,0.1521619
1,2,15983,1,OK,0.3020347,0.1472536,-0.7877600,0.5162612,181.524,262.226,-1686.504,0.1527685
1,2,15986,1,OK,0.3018938,0.1473441,-0.7878554,0.5161722,181.487,262.218,-1686.480,0.1469340
1,2,15989,1,OK,0.3019212,0.1473485,-0.7878046,0.5162325,181.545,262.205,-1686.502,0.1496582
1,2,15992,1,OK,0.3022257,0.1473814,-0.7877008,0.5162032,181.524,262.227,-1686.535,0.1428544
1,2,15995,1,OK,0.3020555,0.1473758,-0.7877831,0.5161788,181.543,262.223,-1686.500,0.1452474
1,2,15998,1,OK,0.3022704,0.1473586,-0.7876648,0.5162386,181.518,262.234,-1686.505,0.1454603
1,2,16001,1,OK,0.3018294,0.1472970,-0.7879114,0.5161378,181.517,262.217,-1686.457,0.1621974
1,2,16004,1,OK,0.3019683,0.1473930,-0.7878771,0.5160816,181.512,262.206,-1686.479,0.1442033
1,2,16007,1,OK,0.3021041,0.1475003,-0.7878223,0.5160550,181.526,262.205,-1686.475,0.1357536
1,2,16010,1,OK,0.3018786,0.1473182,-0.7878695,0.5161669,181.557,262.207,-1686.503,0.1507753
1,2,16013,1,OK,0.3018626,0.1471929,-0.7878421,0.5162539,181.513,262.228,-1686.499,0.1508258
1,2,16016,1,OK,0.3016877,0.1472712,-0.7879933,0.5161030,181.543,262.223,-1686.478,0.1590472
1,2,16019,1,OK,0.3019117,0.1473925,-0.7879102,0.5160643,181.473,262.234,-1686.479,0.1477839
1,2,16022,1,OK,0.3018850,0.1473682,-0.7878792,0.5161341,181.528,262.215,-1686.473,0.1512171
1,2,16025,1,OK,0.3019240,0.1473019,-0.7878410,0.5161886,181.513,262.216,-1686.510,0.1450809
1,2,16028,1,OK,0.3020228,0.1475310,-0.7878583,0.5160390,181.535,262.209,-1686.522,0.1400603
1,2,16031,1,OK,0.3018701,0.1473676,-0.7879083,0.5160986,181.544,262.206,-1686.515,0.1495270
1,2,16034,1,OK,0.3016061,0.1474131,-0.7880403,0.5160385,181.487,262.219,-1686.447,0.1653145
1,2,16037,1,OK,0.3016989,0.1473455,-0.7879827,0.5160914,181.512,262.222,-1686.470,0.1664852
1,2,16040,1,OK,0.3019767,0.1473348,-0.7878336,0.5161597,181.474,262.234,-1686.487,0.1481806
1,2,16043,1,OK,0.3019173,0.1470484,-0.7877522,0.5164003,181.546,262.218,-1686.501,0.1464312
1,2,16046,1,OK,0.3019318,0.1473746,-0.7878218,0.5161925,181.500,262.221,-1686.531,0.1484724
1,2,16049,1,OK,0.3020744,0.1476054,-0.7878430,0.5160107,181.533,262.208,-1686.490,0.1402052
1,2,16052,1,OK,0.3020301,0.1473525,-0.7877828,0.5162008,181.533,262.220,-1686.533,0.1422106
1,2,16055,1,OK,0.3018130,0.1474223,-0.7879710,0.5160207,181.498,262.222,-1686.434,0.1572891
1,2,16058,1,OK,0.3021780,0.1475313,-0.7877493,0.5161144,181.529,262.231,-1686.505,0.1350268
1,2,16061,1,OK,0.3022405,0.1473314,-0.7876796,0.5162412,181.516,262.235,-1686.524,0.1402892
1,2,16064,1,OK,0.3017524,0.1470013,-0.7878653,0.5163375,181.559,262.220,-1686.534,0.1625472
1,2,16067,1,OK,0.3017317,0.1473343,-0.7879948,0.5160570,181.499,262.216,-1686.483,0.1618807
1,2,16070,1,OK,0.3016067,0.1471083,-0.7880310,0.5161393,181.558,262.202,-1686.477,0.1655072
1,2,16073,1,OK,0.3021368,0.1474594,-0.7877707,0.5161263,181.525,262.216,-1686.493,0.1379451
1,2,16076,1,OK,0.3018079,0.1472444,-0.7878928,0.5161939,181.517,262.227,-1686.495,0.1552213
1,2,16079,1,OK,0.3020369,0.1473797,-0.7877786,0.5161955,181.515,262.226,-1686.469,0.1400554
1,2,16082,1,OK,0.3019312,0.1475785,-0.7879749,0.5159009,181.512,262.219,-1686.446,0.1396024
1,2,16085,1,OK,0.3018158,0.1473388,-0.7879570,0.5160642,181.561,262.207,-1686.483,0.1640500
1,2,16088,1,OK,0.3018768,0.1473141,-0.7878701,0.5161683,181.498,262.221,-1686.492,0.1561854
1,2,16091,1,OK,0.3022364,0.1474949,-0.7876803,0.5161959,181.558,262.204,-1686.483,0.1338159
1,2,16094,1,OK,0.3017897,0.1475006,-0.7879842,0.5159917,181.486,262.212,-1686.446,0.1476628
1,2,16097,1,OK,0.3018384,0.1473268,-0.7878557,0.5162090,181.513,262.219,-1686.458,0.1547428
1,2,16100,1,OK,0.3021685,0.1472062,-0.7876257,0.5164013,181.533,262.231,-1686.515,0.1339962
1,2,16103,1,OK,0.3019848,0.1473391,-0.7878050,0.5161973,181.527,262.224,-1686.490,0.1485526
1,2,16106,1,OK,0.3020035,0.1472977,-0.7878537,0.5161239,181.552,262.211,-1686.480,0.1485660
1,2,16109,1,OK,0.3018101,0.1473868,-0.7880002,0.5159878,181.488,262.209,-1686.463,0.1649016
1,2,16112,1,OK,0.3017483,0.1472861,-0.7879066,0.5161957,181.545,262.198,-1686.465,0.1642815
1,2,16115,1,OK,0.3018056,0.1472191,-0.7878858,0.5162131,181.459,262.215,-1686.444,0.1678172
1,2,16118,1,OK,0.3017098,0.1472870,-0.7879544,0.5161449,181.506,262.209,-1686.430,0.1727377
1,2,16121,1,OK,0.3019264,0.1471244,-0.7877782,0.5163336,181.529,262.235,-1686.533,0.1444397
1,2,16124,1,OK,0.3019142,0.1473750,-0.7878963,0.5160890,181.527,262.224,-1686.462,0.1486374
1,2,16127,1,OK,0.3017894,0.1473597,-0.7879024,0.5161569,181.549,262.216,-1686.480,0.1472882
1,2,16130,1,OK,0.3018385,0.1474907,-0.7879786,0.5159745,181.488,262.208,-1686.438,0.1542709
1,2,16133,1,OK,0.3021641,0.1473795,-0.7876905,0.5162556,181.535,262.207,-1686.474,0.1447624
1,2,16136,1,OK,0.3019558,0.1474457,-0.7878842,0.5160630,181.465,262.209,-1686.448,0.1495442
1,2,16139,1,OK,0.3020579,0.1473035,-0.7877657,0.5162247,181.536,262.211,-1686.484,0.1431155
1,2,16142,1,OK,0.3018712,0.1473244,-0.7879378,0.5160652,181.526,262.219,-1686.489,0.1482389
1,2,16145,1,OK,0.3021542,0.1474799,-0.7877395,0.5161580,181.539,262.224,-1686.497,0.1388340
1,2,16148,1,OK,0.3017385,0.1473198,-0.7879732,0.5160901,181.551,262.212,-1686.474,0.1530364
1,2,16151,1,OK,0.3021566,0.1474837,-0.7877477,0.5161430,181.493,262.223,-1686.481,0.1381009
1,2,16154,1,OK,0.3022211,0.1473476,-0.7876899,0.5162322,181.534,262.203,-1686.478,0.1366691
1,2,16157,1,OK,0.3017990,0.1472881,-0.7879118,0.5161574,181.481,262.213,-1686.459,0.1679134
1,2,16160,1,OK,0.3018649,0.1473815,-0.7879437,0.5160435,181.532,262.201,-1686.445,0.1540646
1,2,16163,1,OK,0.3018675,0.1472139,-0.7878414,0.5162461,181.519,262.227,-1686.465,0.1474552
1,2,16166,1,OK,0.3019705,0.1474088,-0.7878274,0.5161516,181.541,262.223,-1686.496,0.1409416
1,2,16169,1,OK,0.3019611,0.1472199,-0.7878069,0.5162423,181.538,262.216,-1686.462,0.1491257
1,2,16172,1,OK,0.3018416,0.1474963,-0.7879736,0.5159788,181.450,262.211,-1686.452,0.1513568
1,2,16175,1,OK,0.3020508,0.1473009,-0.7877195,0.5163001,181.528,262.206,-1686.477,0.1459368
1,2,16178,1,OK,0.3020244,0.1472767,-0.7877532,0.5162709,181.487,262.216,-1686.488,0.1421374
1,2,16181,1,OK,0.3021233,0.1475482,-0.7877957,0.5160707,181.539,262.214,-1686.507,0.1326697
1,2,16184,1,OK,0.3020708,0.1474882,-0.7878352,0.5160583,181.548,262.223,-1686.512,0.1484617
1,2,16187,1,OK,0.3018902,0.1473745,-0.7878942,0.5161063,181.518,262.225,-1686.471,0.1473023
1,2,16190,1,OK,0.3021827,0.1472963,-0.7876462,0.5163361,181.506,262.226,-1686.461,0.1386132
1,2,16193,1,OK,0.3020428,0.1473126,-0.7877273,0.5162895,181.482,262.219,-1686.487,0.1488953
1,2,16196,1,OK,0.3018359,0.1474083,-0.7879381,0.5160615,181.512,262.202,-1686.444,0.1499055
1,2,16199,1,OK,0.3020139,0.1473204,-0.7877389,0.5162865,181.514,262.208,-1686.469,0.1383097
1,2,16202,1,OK,0.3017956,0.1472486,-0.7879020,0.5161858,181.538,262.217,-1686.485,0.1586297
1,2,16205,1,OK,0.3019584,0.1470688,-0.7877499,0.5163739,181.552,262.230,-1686.515,0.1491935
1,2,16208,1,OK,0.3020968,0.1474309,-0.7877898,0.5161287,181.521,262.230,-1686.474,0.1491527
