Tools,Port 8: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,8,95884,1,OK,0.5198764,0.2367740,-0.3199134,0.7558585,68.318,-46.058,-1873.348,0.1449826
1,8,95887,1,OK,0.5201281,0.2369805,-0.3198599,0.7556432,68.253,-46.017,-1873.336,0.1577652
1,8,95890,1,OK,0.5197825,0.2367014,-0.3199157,0.7559448,68.388,-46.064,-1873.408,0.1470113
1,8,95893,1,OK,0.5191777,0.2364334,-0.3201410,0.7563488,68.353,-46.027,-1873.384,0.1354638
1,8,95896,1,OK,0.5200610,0.2368208,-0.3197839,0.7557716,68.329,-46.085,-1873.379,0.1574738
1,8,95899,1,OK,0.5195635,0.2364061,-0.3198136,0.7562309,68.328,-46.146,-1873.453,0.1477550
1,8,95902,1,OK,0.5203082,0.2368499,-0.3196194,0.7556619,68.287,-46.135,-1873.415,0.1576075
1,8,95905,1,OK,0.5198396,0.2367218,-0.3198952,0.7559079,68.328,-46.069,-1873.382,0.1558009
1,8,95908,1,OK,0.5197097,0.2367017,-0.3199658,0.7559736,68.313,-46.037,-1873.337,0.1387558
1,8,95911,1,OK,0.5196221,0.2366639,-0.3199848,0.7560375,68.385,-46.045,-1873.354,0.1531462
1,8,95914,1,OK,0.5197278,0.2365288,-0.3198350,0.7560705,68.327,-46.111,-1873.424,0.1369017
1,8,95917,1,OK,0.5197276,0.2366657,-0.3199468,0.7559805,68.348,-46.067,-1873.354,0.1470217
1,8,95920,1,OK,0.5197201,0.2365629,-0.3198960,0.7560394,68.328,-46.098,-1873.381,0.1553824
1,8,95923,1,OK,0.5198557,0.2368824,-0.3199586,0.7558196,68.276,-46.025,-1873.310,0.1591984
1,8,95926,1,OK,0.5196215,0.2366663,-0.3200001,0.7560307,68.335,-46.042,-1873.356,0.1480895
1,8,95929,1,OK,0.5196815,0.2366089,-0.3199135,0.7560442,68.338,-46.084,-1873.391,0.1385404
1,8,95932,1,OK,0.5198076,0.2367426,-0.3199554,0.7558978,68.356,-46.034,-1873.323,0.1549696
1,8,95935,1,OK,0.5201313,0.2368652,-0.3197715,0.7557146,68.260,-46.065,-1873.362,0.1472254
1,8,95938,1,OK,0.5201249,0.2370008,-0.3198345,0.7556498,68.274,-46.027,-1873.311,0.1606462
1,8,95941,1,OK,0.5196310,0.2365118,-0.3198711,0.7561272,68.310,-46.110,-1873.382,0.1467274
1,8,95944,1,OK,0.5202553,0.2367763,-0.3196575,0.7557053,68.334,-46.130,-1873.431,0.1475434
1,8,95947,1,OK,0.5200788,0.2367742,-0.3197238,0.7557994,68.319,-46.110,-1873.432,0.1398586
1,8,95950,1,OK,0.5194454,0.2366630,-0.3200921,0.7561139,68.327,-46.017,-1873.351,0.1392402
1,8,95953,1,OK,0.5197811,0.2366280,-0.3198867,0.7559810,68.369,-46.089,-1873.436,0.1529091
1,8,95956,1,OK,0.5201767,0.2368399,-0.3197465,0.7557018,68.263,-46.075,-1873.354,0.1479620
1,8,95959,1,OK,0.5200163,0.2368473,-0.3198935,0.7557477,68.316,-46.039,-1873.313,0.1533542
1,8,95962,1,OK,0.5196272,0.2366035,-0.3199446,0.7560700,68.317,-46.070,-1873.380,0.1374999
