Tools,Port 2: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,2,86614,1,OK,0.3081464,0.1294404,-0.8085529,0.4842863,209.427,257.988,-1651.404,0.1570946
1,2,86617,1,OK,0.3085029,0.1296019,-0.8083403,0.4843710,209.379,257.996,-1651.433,0.1334865
1,2,86620,1,OK,0.3086414,0.1295622,-0.8082854,0.4843851,209.434,257.986,-1651.453,0.1380890
1,2,86623,1,OK,0.3085911,0.1296916,-0.8083242,0.4843178,209.415,257.990,-1651.409,0.1349765
1,2,86626,1,OK,0.3081722,0.1295026,-0.8085780,0.4842114,209.442,257.991,-1651.421,0.1497739
1,2,86629,1,OK,0.3083048,0.1294806,-0.8084948,0.4842716,209.450,258.001,-1651.444,0.1459808
1,2,86632,1,OK,0.3084485,0.1292499,-0.8082853,0.4845914,209.442,258.007,-1651.455,0.1513484
1,2,86635,1,OK,0.3085725,0.1297279,-0.8083784,0.4842293,209.414,257.992,-1651.406,0.1295191
1,2,86638,1,OK,0.3082747,0.1295397,-0.8084896,0.4842837,209.386,257.991,-1651.419,0.1485891
1,2,86641,1,OK,0.3083794,0.1293136,-0.8083918,0.4844408,209.453,257.985,-1651.442,0.1488942
1,2,86644,1,OK,0.3080182,0.1292693,-0.8085516,0.4844157,209.417,257.990,-1651.441,0.1546068
1,2,86647,1,OK,0.3083782,0.1292889,-0.8083876,0.4844551,209.475,258.002,-1651.488,0.1515148
1,2,86650,1,OK,0.3084026,0.1294026,-0.8084036,0.4843825,209.452,257.999,-1651.446,0.1445689
1,2,86653,1,OK,0.3085089,0.1294378,-0.8082977,0.4844821,209.433,258.009,-1651.461,0.1509944
1,2,86656,1,OK,0.3084788,0.1292976,-0.8082817,0.4845654,209.427,258.006,-1651.442,0.1503845
1,2,86659,1,OK,0.3083477,0.1293892,-0.8083834,0.4844548,209.420,257.995,-1651.445,0.1415075
1,2,86662,1,OK,0.3081143,0.1291331,-0.8084721,0.4845235,209.448,257.985,-1651.447,0.1604127
1,2,86665,1,OK,0.3081023,0.1295454,-0.8086381,0.4841440,209.431,257.981,-1651.407,0.1554329
1,2,86668,1,OK,0.3083690,0.1295646,-0.8084547,0.4842752,209.478,257.991,-1651.452,0.1455768
1,2,86671,1,OK,0.3083959,0.1293975,-0.8084061,0.4843839,209.430,257.998,-1651.434,0.1396409
1,2,86674,1,OK,0.3086147,0.1295746,-0.8083079,0.4843611,209.434,257.999,-1651.411,0.1228186
1,2,86677,1,OK,0.3083931,0.1294706,-0.8084332,0.4843210,209.427,257.994,-1651.442,0.1480115
1,2,86680,1,OK,0.3082070,0.1294542,-0.8084920,0.4843457,209.412,257.991,-1651.422,0.1541333
1,2,86683,1,OK,0.3084155,0.1294789,-0.8083775,0.4843974,209.454,257.989,-1651.458,0.1414782
1,2,86686,1,OK,0.3083642,0.1294585,-0.8084011,0.4843962,209.451,257.987,-1651.470,0.1360679
1,2,86689,1,OK,0.3084783,0.1293831,-0.8082893,0.4845302,209.439,257.992,-1651.445,0.1494351
1,2,86692,1,OK,0.3083762,0.1293960,-0.8083777,0.4844443,209.405,258.003,-1651.428,0.1477138
1,2,86695,1,OK,0.3085880,0.1292574,-0.8082212,0.4846075,209.446,258.009,-1651.469,0.1405305
1,2,86698,1,OK,0.3085743,0.1295972,-0.8083179,0.4843642,209.419,258.001,-1651.447,0.1288732
1,2,86701,1,OK,0.3085844,0.1295799,-0.8083350,0.4843339,209.423,257.989,-1651.457,0.1337336
1,2,86704,1,OK,0.3083559,0.1292716,-0.8083789,0.4844885,209.459,257.985,-1651.485,0.1380711
1,2,86707,1,OK,0.3083187,0.1291794,-0.8083489,0.4845868,209.433,257.987,-1651.446,0.1447666
1,2,86710,1,OK,0.3087073,0.1294474,-0.8082249,0.4844746,209.448,257.997,-1651.455,0.1298726
1,2,86713,1,OK,0.3084381,0.1293836,-0.8083367,0.4844766,209.407,258.000,-1651.431,0.1409291
1,2,86716,1,OK,0.3082078,0.1293256,-0.8084629,0.4844281,209.409,257.998,-1651.415,0.1596308
1,2,86719,1,OK,0.3083723,0.1293577,-0.8083784,0.4844558,209.428,258.003,-1651.432,0.1474083
1,2,86722,1,OK,0.3085842,0.1292995,-0.8082594,0.4845350,209.454,257.990,-1651.458,0.1358853
1,2,86725,1,OK,0.3082790,0.1291817,-0.8083489,0.4846114,209.455,257.985,-1651.439,0.1457502
1,2,86728,1,OK,0.3083455,0.1295630,-0.8084601,0.4842816,209.415,257.978,-1651.419,0.1414289
1,2,86731,1,OK,0.3083399,0.1297034,-0.8084920,0.4841945,209.428,257.983,-1651.383,0.1444028
1,2,86734,1,OK,0.3082667,0.1295126,-0.8085176,0.4842493,209.409,257.990,-1651.388,0.1453769
1,2,86737,1,OK,0.3085392,0.1295076,-0.8082963,0.4844465,209.437,258.003,-1651.447,0.1425737
1,2,86740,1,OK,0.3083955,0.1294244,-0.8084237,0.4843476,209.450,257.992,-1651.453,0.1488868
1,2,86743,1,OK,0.3084944,0.1294692,-0.8083431,0.4844072,209.447,257.993,-1651.435,0.1268303
1,2,86746,1,OK,0.3084941,0.1294255,-0.8083464,0.4844135,209.469,257.988,-1651.477,0.1505821
1,2,86749,1,OK,0.3081986,0.1292009,-0.8084547,0.4844809,209.385,257.986,-1651.409,0.1601283
1,2,86752,1,OK,0.3082359,0.1295060,-0.8085308,0.4842487,209.415,257.986,-1651.412,0.1395885
1,2,86755,1,OK,0.3084157,0.1295647,-0.8084017,0.4843341,209.403,257.992,-1651.406,0.1398281
1,2,86758,1,OK,0.3081847,0.1294721,-0.8085443,0.4842678,209.411,257.998,-1651.410,0.1498042
1,2,86761,1,OK,0.3082777,0.1293892,-0.8084798,0.4843384,209.462,257.988,-1651.452,0.1455676
1,2,86764,1,OK,0.3080398,0.1294799,-0.8086573,0.4841693,209.414,257.990,-1651.425,0.1616184
1,2,86767,1,OK,0.3085467,0.1293625,-0.8082829,0.4845028,209.456,257.984,-1651.422,0.1434562
1,2,86770,1,OK,0.3085368,0.1296144,-0.8083660,0.4843032,209.416,257.986,-1651.415,0.1367745
1,2,86773,1,OK,0.3083093,0.1292914,-0.8083827,0.4845065,209.419,257.989,-1651.431,0.1511475
1,2,86776,1,OK,0.3082848,0.1292800,-0.8084542,0.4844058,209.444,257.996,-1651.432,0.1430695
1,2,86779,1,OK,0.3085256,0.1295226,-0.8083444,0.4843710,209.449,258.002,-1651.465,0.1482977
1,2,86782,1,OK,0.3079883,0.1292844,-0.8086169,0.4843217,209.441,257.989,-1651.415,0.1648290
1,2,86785,1,OK,0.3084867,0.1295150,-0.8083640,0.4843651,209.414,257.998,-1651.440,0.1369242
1,2,86788,1,OK,0.3083667,0.1295180,-0.8084494,0.4842981,209.437,257.987,-1651.422,0.1429372
1,2,86791,1,OK,0.3085240,0.1293493,-0.8082796,0.4845264,209.415,257.994,-1651.435,0.1392827
